product_id,product_name,category,brand,price,cost,stock_quantity,weight_kg,created_date,is_active
P1001,Laptop Pro,Electronics,Dell,999.99,700.00,45,2.1,2023-01-10,TRUE
P1002,Wireless Mouse,Electronics,Logitech,29.99,12.50,300,0.12,2023-01-12,TRUE
P1003,USB Cable,Electronics,Anker,$14.99,4.00,1000,0.05,2023/01/15,Yes
P1004,Office Chair,Furniture,IKEA,199.99,150.00,55,15.5,2023-02-01,TRUE
P1005,Standing Desk,Furniture,Ikea,499,350,20,35.2,2023-02-05,TRUE
P1006,Coffee Maker,Kitchen,Ninja,89.99,55.25,-5,3.5,2023-02-10,TRUE
P1007,Blender,Kitchen,Ninja,NULL,40.00,35,2.2,2023-02-15,FALSE
P1008,Water Bottle,Sports,Hydro Flask,39.95,20.00,250,0.45,2023-03-01,TRUE
P1009,Yoga Mat,Sports,Nike,49,25,100,1.3,2023-03-05,true
P1010,Tennis Racket,Sports,Wilson,-120,80,15,0.9,2023-03-10,TRUE
P1011,Notebook,Office,Staples,3.49,1.10,5000,.3,2023-04-01,Y
P1012,Pen Pack,Office,BIC,12,4,800,,2023-04-02,N
P1013,Gaming Monitor,Electronics,LG,"399,99",250,50,5.6,2023-04-15,TRUE
P1014,External SSD,Electronics,Samsung,129.99,95.00,80,0.08,2023-04-18,TRUE
P1015,Air Fryer,Kitchen,Philips,179.99,110.00,40,5.5,2023-04-20,TRUE
P1016,Smart Watch,Electronics,Apple,499.99,300.00,25,0.2,2023-05-01,TRUE
P1017,Bluetooth Speaker,Electronics,JBL,89.99,50.00,150,1.1,2023-05-10,TRUE
P1018,Vacuum Cleaner,Home,Dyson,699.99,450.00,10,4.5,2023-05-20,TRUE
P1019,LED TV 55"",Electronics,Sony,899.99,650.00,12,15.0,2023-06-01,TRUE
P1020,Electric Kettle,Kitchen,Hamilton Beach,39.99,20.00,70,1.1,2023-06-10,TRUE
P1020,Electric Kettle,Kitchen,Hamilton Beach,39.99,20.00,70,1.1,2023-06-10,TRUE
BADID,Unknown Product,Misc,Unknown,N/A,0,NULL,?,bad-date,unknown
